,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
11,0.201098843,-0.412927481,0.503645366,-0.637585059,-0.12312455,-1.189425326,-0.223262024,0.397730304,-0.2441683,0.448389194,-1.189425326,-0.853037788,0.448389194,1.243259368,0.161543036,0.305800096,-0.057165481,0.328049111,-0.154796352,0.49235363,-0.458648431,0.623996182,-0.578150567,0.397730304,0.56152446,-0.098807842,0.813896192,0.393152007,-0.01256826,0.025745732,-0.223262024,0.122874749,0.865693523,0.393152007,-0.047977585,0.6784096,0.290425086,0.542873673,0.186114056,0.503645366,-0.230007855,-0.14592932,-0.228120059,0.072573028,-0.853037788,0.473189857,0.182834113,-0.314317393,0.236374172,-0.112557583,-0.171001598,0.186114056,0.251159773,0.105764347,0.607412612,-0.14592932,0.255769952,-0.274648326,0.542873673,-0.154796352,-0.067541619,0.255769952,-0.195369639,1.243259368,0.431695594,0.319144846,-0.154796352,0.251159773,-0.911526956,0.161543036,-0.067541619,-0.659853633,-0.696444506,-0.325102408,-0.274648326,-0.578150567,-0.156098968,-0.15078449,-0.469919402,-0.047977585,-0.214857506,-1.120789174,-0.6146622,-0.114731837,0.503645366,0.117662889,-1.189425326,-0.274648326,-0.002170177,-0.047977585,-0.214857506,-0.574095141,-0.731240648,0.043042985,-0.098807842,-0.14592932,0.255769952,-0.092280875,-0.081133138,0.208053508
12,0.420563751,0.01892379,-0.114731837,-0.203615351,-0.602167932,-0.868902878,-0.325102408,1.098599139,-0.637585059,0.043042985,-0.868902878,-0.6146622,0.043042985,0.969922863,1.243259368,-0.2441683,0.251159773,0.305800096,-0.853037788,0.025745732,0.1780198,0.503645366,-0.458648431,1.098599139,-0.01256826,-0.15078449,0.865693523,1.04583805,-0.314317393,-0.172218554,-0.325102408,0.191544323,0.00128448,1.04583805,-0.168962995,0.682121242,0.431695594,0.448389194,0.65994675,-0.114731837,-0.245220179,-1.173729525,-0.621598316,0.550294721,-0.6146622,-0.12312455,-0.214857506,-0.156098968,0.273532835,-0.683085925,-0.299013277,0.65994675,0.6784096,0.542873673,-0.024571001,-1.173729525,0.136869284,0.397730304,0.448389194,-0.853037788,0.980857685,0.136869284,0.122874749,0.969922863,-0.031242368,0.219865196,-0.853037788,0.6784096,-0.178710286,1.243259368,0.980857685,-0.002170177,-0.532665189,0.00387036,0.397730304,-0.458648431,-0.081133138,0.10493586,0.105764347,-0.168962995,-0.673016422,0.161543036,0.072573028,-0.592642753,-0.114731837,0.623996182,-0.868902878,0.397730304,0.630944042,-0.168962995,-0.673016422,0.201098843,-1.402260402,-0.331194959,-0.15078449,-1.173729525,0.136869284,-0.696444506,-0.206671853,0.750143608
13,0.255769952,0.158238284,-0.592642753,0.417276778,-0.286379719,0.393152007,0.00387036,0.638870982,-0.203615351,-0.331194959,0.393152007,0.072573028,-0.331194959,-0.154796352,0.969922863,-0.637585059,0.6784096,-0.2441683,-0.6146622,-0.172218554,0.752983063,-0.114731837,0.1780198,0.638870982,-0.314317393,0.10493586,0.00128448,0.52637506,-0.156098968,-0.230007855,0.00387036,-0.004338247,-0.833865488,0.52637506,-0.171001598,-0.14592932,-0.031242368,0.043042985,0.086925207,-0.592642753,-0.195088634,-1.120789174,-0.221136773,0.473189857,0.072573028,-0.602167932,-0.673016422,-0.081133138,0.182834113,-0.659853633,-0.274648326,0.086925207,0.682121242,0.448389194,-0.469066365,-1.120789174,-0.228120059,1.098599139,0.043042985,-0.6146622,1.070332873,-0.228120059,0.191544323,-0.154796352,-0.534836838,-0.160341432,-0.6146622,0.682121242,0.813896192,0.969922863,1.070332873,0.630944042,0.117662889,0.236374172,1.098599139,0.1780198,-0.206671853,0.155609061,0.542873673,-0.171001598,-0.411977181,1.243259368,0.550294721,-0.469919402,-0.592642753,0.503645366,0.393152007,1.098599139,0.56152446,-0.171001598,-0.411977181,0.420563751,-0.546070708,-0.578150567,0.10493586,-1.120789174,-0.228120059,-0.532665189,-0.026091957,0.49235363
14,0.136869284,0.153238356,-0.469919402,0.341344035,0.319144846,1.04583805,0.236374172,-0.731240648,0.417276778,-0.578150567,1.04583805,0.550294721,-0.578150567,-0.853037788,-0.154796352,-0.203615351,0.682121242,-0.637585059,0.072573028,-0.230007855,0.607412612,-0.592642753,0.752983063,-0.731240648,-0.156098968,0.155609061,-0.833865488,-0.395045949,-0.081133138,-0.245220179,0.236374172,-0.036868669,-0.897280427,-0.395045949,-0.299013277,-1.173729525,-0.534836838,-0.331194959,-0.958778178,-0.469919402,-0.148196466,0.161543036,0.629075559,-0.12312455,0.550294721,-0.286379719,-0.411977181,-0.206671853,-0.214857506,-0.002170177,0.397730304,-0.958778178,-0.14592932,0.043042985,-0.476875478,0.161543036,-0.621598316,0.638870982,-0.331194959,0.072573028,-0.094189142,-0.621598316,-0.004338247,-0.853037788,-0.412927481,0.186114056,0.072573028,-0.14592932,0.865693523,-0.154796352,-0.094189142,0.56152446,0.623996182,0.273532835,0.638870982,0.752983063,-0.026091957,-0.047977585,0.448389194,-0.299013277,0.550195303,0.969922863,0.473189857,0.105764347,-0.469919402,-0.114731837,1.04583805,0.638870982,-0.01256826,-0.299013277,0.550195303,0.255769952,0.776367418,-0.458648431,0.155609061,0.161543036,-0.621598316,0.117662889,0.364284774,0.025745732
15,-0.228120059,0.328049111,0.105764347,-0.098807842,0.219865196,0.52637506,0.273532835,-1.402260402,0.341344035,-0.458648431,0.52637506,0.473189857,-0.458648431,-0.6146622,-0.853037788,0.417276778,-0.14592932,-0.203615351,0.550294721,-0.245220179,-0.024571001,-0.469919402,0.607412612,-1.402260402,-0.081133138,-0.047977585,-0.897280427,-0.815592556,-0.206671853,-0.195088634,0.273532835,0.290425086,-0.067541619,-0.815592556,-0.274648326,-1.120789174,-0.412927481,-0.578150567,-0.977695901,0.105764347,-0.057165481,1.243259368,0.697449688,-0.602167932,0.473189857,0.319144846,0.550195303,-0.026091957,-0.673016422,0.630944042,1.098599139,-0.977695901,-1.173729525,-0.331194959,-0.195369639,1.243259368,-0.221136773,-0.731240648,-0.578150567,0.550294721,-1.189425326,-0.221136773,-0.036868669,-0.6146622,0.01892379,0.65994675,0.550294721,-1.173729525,0.00128448,-0.853037788,-1.189425326,-0.01256826,0.503645366,0.182834113,-0.731240648,0.607412612,0.364284774,-0.168962995,0.043042985,-0.274648326,0.952357808,-0.154796352,-0.12312455,0.542873673,0.105764347,-0.592642753,0.52637506,-0.731240648,-0.314317393,-0.274648326,0.952357808,0.136869284,0.948501325,0.1780198,-0.047977585,1.243259368,-0.221136773,0.623996182,0.264086213,-0.172218554
16,-0.621598316,0.305800096,0.542873673,-0.15078449,-0.160341432,-0.395045949,0.182834113,-0.546070708,-0.098807842,0.1780198,-0.395045949,-0.12312455,0.1780198,0.072573028,-0.6146622,0.341344035,-1.173729525,0.417276778,0.473189857,-0.195088634,-0.469066365,0.105764347,-0.024571001,-0.546070708,-0.206671853,-0.168962995,-0.067541619,-0.46737594,-0.026091957,-0.148196466,0.182834113,0.431695594,0.980857685,-0.46737594,0.397730304,0.161543036,0.01892379,-0.458648431,0.157517794,0.542873673,0.251159773,0.969922863,-0.092280875,-0.286379719,-0.12312455,0.219865196,0.952357808,0.364284774,-0.411977181,0.56152446,0.638870982,0.157517794,-1.120789174,-0.578150567,0.122874749,0.969922863,0.629075559,-1.402260402,-0.458648431,0.473189857,-0.868902878,0.629075559,0.290425086,0.072573028,0.158238284,0.086925207,0.473189857,-1.120789174,-0.833865488,-0.6146622,-0.868902878,-0.314317393,-0.114731837,-0.214857506,-1.402260402,-0.024571001,0.264086213,-0.171001598,-0.331194959,0.397730304,0.114985847,-0.853037788,-0.602167932,0.448389194,0.542873673,-0.469919402,-0.395045949,-1.402260402,-0.156098968,0.397730304,0.114985847,-0.228120059,-0.019418568,0.752983063,-0.168962995,0.969922863,0.629075559,0.503645366,-0.223262024,-0.230007855
17,-0.221136773,-0.2441683,0.448389194,0.10493586,0.186114056,-0.815592556,-0.214857506,0.776367418,-0.15078449,0.752983063,-0.815592556,-0.602167932,0.752983063,0.550294721,0.072573028,-0.098807842,-1.120789174,0.341344035,-0.12312455,-0.148196466,-0.476875478,0.542873673,-0.469066365,0.776367418,-0.026091957,-0.171001598,0.980857685,0.272059423,0.364284774,-0.057165481,-0.214857506,-0.031242368,1.070332873,0.272059423,1.098599139,1.243259368,0.158238284,0.1780198,1.101681082,0.448389194,0.6784096,-0.154796352,-0.696444506,0.319144846,-0.602167932,-0.160341432,0.114985847,0.264086213,0.550195303,-0.01256826,-0.731240648,1.101681082,0.161543036,-0.458648431,0.191544323,-0.154796352,0.697449688,-0.546070708,0.1780198,-0.12312455,0.393152007,0.697449688,0.431695594,0.550294721,0.153238356,-0.958778178,-0.12312455,0.161543036,-0.897280427,0.072573028,0.393152007,-0.156098968,-0.592642753,-0.673016422,-0.546070708,-0.469066365,-0.223262024,-0.299013277,-0.578150567,1.098599139,-0.802250324,-0.6146622,-0.286379719,0.043042985,0.448389194,0.105764347,-0.815592556,-0.546070708,-0.081133138,1.098599139,-0.802250324,-0.621598316,-0.593045269,0.607412612,-0.171001598,-0.154796352,0.697449688,-0.114731837,-0.325102408,-0.245220179
18,0.629075559,-0.637585059,0.043042985,0.155609061,0.65994675,-0.46737594,-0.673016422,0.948501325,0.10493586,0.607412612,-0.46737594,-0.286379719,0.607412612,0.473189857,0.550294721,-0.15078449,0.161543036,-0.098807842,-0.602167932,-0.057165481,-0.195369639,0.448389194,-0.476875478,0.948501325,0.364284774,-0.299013277,1.070332873,0.730837463,0.264086213,0.251159773,-0.673016422,-0.534836838,-0.094189142,0.730837463,0.638870982,0.969922863,0.153238356,0.752983063,0.823405403,0.043042985,0.682121242,-0.853037788,-0.532665189,0.219865196,-0.286379719,0.186114056,-0.802250324,-0.223262024,0.952357808,-0.314317393,-1.402260402,0.823405403,1.243259368,0.1780198,-0.004338247,-0.853037788,-0.092280875,0.776367418,0.752983063,-0.602167932,1.04583805,-0.092280875,-0.031242368,0.473189857,0.328049111,-0.977695901,-0.602167932,1.243259368,-0.067541619,0.550294721,1.04583805,-0.081133138,-0.469919402,-0.411977181,0.776367418,-0.476875478,-0.325102408,-0.274648326,-0.458648431,0.638870982,-0.574095141,0.072573028,0.319144846,-0.331194959,0.043042985,0.542873673,-0.46737594,0.776367418,-0.206671853,0.638870982,-0.574095141,-0.221136773,-0.101854488,-0.024571001,-0.299013277,-0.853037788,-0.092280875,-0.592642753,0.00387036,-0.195088634
19,0.697449688,-0.203615351,-0.331194959,-0.047977585,0.086925207,0.272059423,-0.411977181,-0.019418568,0.155609061,-0.024571001,0.272059423,0.319144846,-0.024571001,-0.12312455,0.473189857,0.10493586,1.243259368,-0.15078449,-0.286379719,0.251159773,0.122874749,0.043042985,-0.195369639,-0.019418568,0.264086213,-0.274648326,-0.094189142,0.536289843,-0.223262024,0.6784096,-0.411977181,-0.412927481,-1.189425326,0.536289843,-0.731240648,-0.154796352,0.328049111,0.607412612,-0.186110601,-0.331194959,-0.14592932,-0.6146622,0.117662889,-0.160341432,0.319144846,0.65994675,-0.574095141,-0.325102408,0.114985847,-0.156098968,-0.546070708,-0.186110601,0.969922863,0.752983063,-0.036868669,-0.6146622,-0.696444506,0.948501325,0.607412612,-0.286379719,0.52637506,-0.696444506,-0.534836838,-0.12312455,0.305800096,0.157517794,-0.286379719,0.969922863,0.980857685,0.473189857,0.52637506,-0.206671853,0.105764347,0.550195303,0.948501325,-0.195369639,0.00387036,0.397730304,0.1780198,-0.731240648,0.201098843,0.550294721,0.219865196,-0.578150567,-0.331194959,0.448389194,0.272059423,0.948501325,-0.026091957,-0.731240648,0.201098843,0.629075559,0.529678138,-0.469066365,-0.274648326,-0.6146622,-0.696444506,-0.469919402,0.236374172,-0.148196466
20,-0.092280875,0.417276778,-0.578150567,-0.168962995,-0.958778178,0.730837463,0.550195303,-0.593045269,-0.047977585,-0.469066365,0.730837463,0.219865196,-0.469066365,-0.602167932,-0.12312455,0.155609061,0.969922863,0.10493586,0.319144846,0.6784096,0.191544323,-0.331194959,0.122874749,-0.593045269,-0.223262024,0.397730304,-1.189425326,-0.112557583,-0.325102408,0.682121242,0.550195303,0.01892379,-0.868902878,-0.112557583,-1.402260402,-0.853037788,0.305800096,-0.024571001,-0.740113756,-0.578150567,-1.173729525,0.072573028,0.623996182,0.186114056,0.219865196,0.086925207,0.201098843,0.00387036,-0.802250324,-0.081133138,0.776367418,-0.740113756,-0.154796352,0.607412612,0.290425086,0.072573028,-0.532665189,-0.019418568,-0.024571001,0.319144846,-0.395045949,-0.532665189,-0.412927481,-0.602167932,-0.2441683,1.101681082,0.319144846,-0.154796352,1.070332873,-0.12312455,-0.395045949,-0.026091957,0.542873673,0.952357808,-0.019418568,0.122874749,0.236374172,1.098599139,0.752983063,-1.402260402,0.420563751,0.473189857,-0.160341432,-0.458648431,-0.578150567,0.043042985,0.730837463,-0.019418568,0.364284774,-1.402260402,0.420563751,0.697449688,0.455488206,-0.476875478,0.397730304,0.072573028,-0.532665189,0.105764347,0.273532835,-0.057165481
